date,btc_close,mstr_close,btc_nav_total,btc_nav_per_share,mnav,premium_to_nav,premium_to_nav_pct,mnav_30d_ma,premium_30d_ma
2024-01-02,44957.96875,68.514999,23746124724.218754,96.528962,0.709787,-0.290213,-29.021303,0.709787,-0.290213
2024-01-03,42848.175781,63.105999,22631763725.01953,91.99904,0.685942,-0.314058,-31.405807,0.697864,-0.302136
2024-01-04,44179.921875,65.581001,23335172035.546875,94.858423,0.691357,-0.308643,-30.864335,0.695695,-0.304305
2024-01-05,44162.691406,63.108002,23326071160.410156,94.821427,0.665546,-0.334454,-33.445421,0.688158,-0.311842
2024-01-08,46970.503906,59.800999,24809115605.722656,100.850063,0.592969,-0.407031,-40.703063,0.66912,-0.33088
2024-01-09,46139.730469,57.729,24370313537.63672,99.066315,0.582731,-0.417269,-41.726913,0.654722,-0.345278
2024-01-10,46627.777344,56.567001,24628092576.308594,100.114197,0.565025,-0.434975,-43.497523,0.641908,-0.358092
2024-01-11,46368.585938,53.618,24491191563.398438,99.557689,0.538562,-0.461438,-46.143788,0.62899,-0.37101
2024-01-12,42853.167969,48.553001,22634400523.57422,92.009758,0.527694,-0.472306,-47.230596,0.617735,-0.382265
2024-01-16,43154.945312,48.214001,22793794789.882812,92.657702,0.520345,-0.479655,-47.965469,0.607996,-0.392004
2024-01-17,42742.652344,49.900002,22576027828.183594,91.772471,0.543736,-0.456264,-45.626394,0.602154,-0.397846
2024-01-18,41262.058594,48.66,21794000418.339844,88.593498,0.54925,-0.45075,-45.074976,0.597745,-0.402255
2024-01-19,41618.40625,48.099998,21982217905.156246,89.358609,0.538281,-0.461719,-46.171948,0.593171,-0.406829
2024-01-22,39507.367188,47.019001,20867198737.929688,84.826011,0.554299,-0.445701,-44.570067,0.590395,-0.409605
2024-01-23,39845.550781,45.019001,21045822239.39453,85.552123,0.526217,-0.473783,-47.378277,0.586116,-0.413884
2024-01-24,40077.074219,45.098999,21168109446.23047,86.049225,0.524107,-0.475893,-47.589303,0.582241,-0.417759
2024-01-25,39933.808594,45.778,21092438692.089844,85.741621,0.533906,-0.466094,-46.60936,0.579397,-0.420603
2024-01-26,41816.871094,49.450001,22087044058.652344,89.784732,0.550762,-0.449238,-44.92382,0.577806,-0.422194
2024-01-29,43288.246094,51.381001,22864202263.027344,92.943912,0.552817,-0.447183,-44.718272,0.576491,-0.423509
2024-01-30,42952.609375,51.951,22686923982.734375,92.223268,0.563318,-0.436682,-43.668229,0.575833,-0.424167
2024-01-31,42582.605469,50.120998,22491493469.51172,91.428835,0.548197,-0.451803,-45.180316,0.574517,-0.425483
2024-02-01,43075.773438,50.348,22751977393.085938,92.487713,0.544375,-0.455625,-45.562499,0.573147,-0.426853
2024-02-02,43185.859375,50.009998,22810123133.984375,92.724078,0.539342,-0.460658,-46.065791,0.571677,-0.428323
2024-02-05,42658.667969,49.060001,22531668541.07422,91.592149,0.535635,-0.464365,-46.436455,0.570175,-0.429825
2024-02-06,43084.671875,49.799999,22756677414.296875,92.506819,0.538339,-0.461661,-46.166131,0.568902,-0.431098
2024-02-07,44318.222656,50.800999,23408220433.691406,95.155368,0.533874,-0.466126,-46.612577,0.567554,-0.432446
2024-02-08,45301.566406,58.780998,23927607852.285156,97.266699,0.604328,-0.395672,-39.567191,0.568916,-0.431084
